(232,-224)
(163,-200)
(149,-200)
(125,-200)
(168,-195)
(140,-197)
(98,-200)
(109,-198)
(162,-193)
(139,-195)
(198,-189)
(115,-196)
(190,-188)
(159,-191)
(82,-197)
(81,-197)
(88,-196)
(155,-188)
(187,-184)
(108,-192)
(116,-191)
(111,-190)
(87,-192)
(37,-198)
(136,-186)
(177,-181)
(36,-198)
(43,-197)
(73,-193)
(122,-185)
(163,-179)
(139,-182)
(15,-198)
(180,-176)
(48,-193)
(150,-179)
(43,-193)
(27,-195)
(150,-178)
(98,-185)
(196,-171)
(30,-194)
(15,-196)
(78,-186)
(173,-172)
(166,-173)
(41,-191)
(102,-182)
(25,-193)
(139,-176)
(44,-190)
(170,-171)
(149,-174)
(175,-170)
(108,-180)
(57,-187)
(167,-170)
(139,-174)
(60,-186)
(52,-187)
(69,-184)
(87,-181)
(112,-177)
(155,-170)
(110,-177)
(145,-171)
(37,-188)
(-13,-196)
(-7,-195)
(-42,-200)
(30,-188)
(82,-179)
(140,-168)
(116,-172)
(90,-176)
(53,-182)
(-45,-199)
(121,-170)
(188,-158)
(193,-157)
(156,-163)
(3,-190)
(127,-168)
(-44,-198)
(168,-160)
(173,-159)
(36,-183)
(145,-163)
(61,-177)
(-44,-196)
(124,-163)
(180,-152)
(102,-167)
(181,-151)
(174,-152)
(41,-178)
(116,-163)
(105,-165)
(34,-179)
(-12,-188)
(92,-167)
(27,-180)
(93,-166)
(171,-149)
(167,-149)
(-6,-185)
(145,-153)
(68,-169)
(160,-149)
(61,-170)
(185,-143)
(-2,-183)
(-18,-186)
(-23,-187)
(163,-146)
(72,-165)
(89,-161)
(186,-135)
(160,-141)
(74,-160)
(56,-164)
(1,-177)
(132,-145)
(161,-138)
(28,-170)
(85,-156)
(-39,-186)
(47,-165)
(51,-164)
(136,-143)
(48,-164)
(-62,-191)
(74,-157)
(57,-161)
(173,-132)
(108,-148)
(132,-142)
(-96,-199)
(-80,-195)
(183,-129)
(71,-157)
(-5,-176)
(102,-149)
(64,-158)
(178,-129)
(174,-130)
(59,-159)
(121,-143)
(70,-156)
(144,-137)
(154,-133)
(46,-161)
(30,-165)
(164,-130)
(24,-166)
(-102,-199)
(193,-121)
(-76,-192)
(10,-169)
(155,-130)
(-36,-181)
(181,-123)
(191,-120)
(-56,-186)
(137,-134)
(196,-117)
(103,-142)
(131,-134)
(17,-165)
(-34,-179)
(-60,-186)
(-24,-176)
(114,-137)
(-76,-190)
(67,-150)
(-12,-172)
(109,-137)
(197,-110)
(186,-113)
(150,-123)
(197,-109)
(-13,-170)
(189,-111)
(-71,-186)
(49,-150)
(52,-149)
(128,-126)
(101,-134)
(-89,-191)
(180,-109)
(58,-146)
(-104,-195)
(55,-146)
(-4,-164)
(118,-125)
(57,-144)
(-81,-187)
(101,-130)
(53,-145)
(194,-100)
(181,-104)
(158,-111)
(-45,-175)
(-37,-172)
(85,-132)
(-2,-160)
(-52,-176)
(79,-133)
(176,-101)
(-35,-170)
(117,-120)
(104,-124)
(-36,-170)
(164,-104)
(79,-132)
(117,-119)
(100,-124)
(-110,-194)
(174,-99)
(-42,-171)
(80,-130)
(145,-108)
(95,-124)
(71,-132)
(97,-123)
(41,-142)
(179,-95)
(74,-130)
(-93,-187)
(84,-126)
(133,-109)
(176,-94)
(-54,-173)
(115,-114)
(-115,-194)
(-27,-163)
(49,-136)
(176,-91)
(99,-118)
(195,-84)
(-34,-165)
(64,-130)
